limite superior;tiempo clave user_name linear_probing;tiempo clave user_id linear_probing;tiempo clave user_name quadratic;tiempo clave user_id quadratic;tiempo clave user_name double;tiempo clave user_id double;tiempo clave user_name abierto;tiempo clave user_id abierto;tiempo clave user_name stl;tiempo clave user_id stl
1000;0.00743319;0.00299335;0.0107382;0.00251224;0.00268578;0.00185599;0.00379714;0.00278141;0.00190555;0.0017955
5000;0.0120922;0.0086002;0.0186576;0.00879368;0.0114958;0.00861568;0.0161343;0.0121298;0.00932661;0.00895151
10000;0.0254933;0.0180546;0.0295317;0.0172022;0.0231928;0.0178668;0.0326296;0.0246452;0.0185911;0.0179088
15000;0.0394882;0.0279874;0.0430052;0.0284287;0.0365382;0.0268129;0.040787;0.0319429;0.0281433;0.0269708
20000;0.0488794;0.0351074;0.05274;0.0346751;0.0455028;0.036653;0.0655954;0.0493966;0.0376321;0.0360879
1000;0.00266814;0.00183888;0.00891872;0.00182649;0.00242078;0.00181645;0.00366716;0.00271669;0.00188963;0.00181878
5000;0.0121773;0.00859529;0.0177333;0.00863217;0.011409;0.00860889;0.0167783;0.0122964;0.00924762;0.00895597
10000;0.0248136;0.0175123;0.0298879;0.0174191;0.0226427;0.0177626;0.0323158;0.024224;0.0187288;0.0180551
15000;0.0405004;0.0302105;0.0481513;0.0305572;0.0388223;0.028085;0.0442013;0.0343017;0.0298896;0.0285285
20000;0.0531014;0.0360593;0.0552635;0.0367212;0.0486783;0.0350583;0.0795601;0.0604806;0.0441317;0.0428224
1000;0.00412624;0.00251256;0.00994129;0.00214457;0.00288173;0.00209982;0.00415753;0.00300331;0.00215353;0.00201807
5000;0.0141121;0.0102393;0.0195147;0.0095418;0.0127208;0.00951543;0.0179452;0.0131761;0.00998889;0.00976554
10000;0.0258077;0.019016;0.0316562;0.0189349;0.0256834;0.0207082;0.0377476;0.0284791;0.021671;0.0208168
15000;0.0472859;0.032857;0.0504706;0.0305352;0.0381217;0.0274709;0.0415983;0.0323456;0.0289453;0.0278425
20000;0.0506849;0.0366564;0.0565428;0.0362664;0.0474201;0.03545;0.0686644;0.0508524;0.0367372;0.0361669
1000;0.0025819;0.00183162;0.00909705;0.00183542;0.00242928;0.00184462;0.00370932;0.00273434;0.00193311;0.0018569
5000;0.0123621;0.00897005;0.018244;0.00868159;0.0115043;0.00872331;0.0173216;0.0122172;0.00948901;0.00909506
10000;0.0252572;0.0174017;0.0290935;0.0175333;0.0231634;0.017995;0.0327625;0.0240617;0.0183497;0.0176838
15000;0.0397894;0.028095;0.0437689;0.0304685;0.0367045;0.0270057;0.0410684;0.0317367;0.0281537;0.0270193
20000;0.0483617;0.035039;0.0553363;0.0353515;0.0458016;0.0344185;0.0657907;0.0500864;0.0366856;0.0356099
